Training Step,Reward,Value Error
5000,-5.1712,33097.93403719645
10000,-2.452,3062.5986758116633
15000,-2.4706,3770.1507396455854
20000,-2.38,4830.89617805928
25000,-2.2708,6993.204262398183
30000,-2.2858,9318.16975576058
35000,-2.287,13177.786921348423
40000,-2.2564,17319.041624359787
45000,-2.167,21106.52577667311
50000,-2.1166,26290.58207396418
55000,-2.1346,32635.786344751716
60000,-2.0158,37278.168873131275
65000,-2.0914,40885.15339671075
70000,-1.9612,44088.91210222244
75000,-1.8088,47127.26540488005
80000,-1.9096,48562.38952291012
85000,-1.6912,50125.0993411541
90000,-1.702,45968.123715400696
95000,-1.4884,37775.234565615654
100000,-1.4248,29798.288461625576
105000,-1.1086,16780.173420727253
110000,-1.1572,11247.037660479546
115000,-1.1122,6850.822525262833
120000,-1.1086,3721.768421754241
125000,-0.886,3343.0965182483196
130000,-0.8782,3463.3311960101128
135000,-0.766,3562.910274937749
140000,-0.7834,3811.3334722816944
145000,-0.799,3786.442152649164
150000,-0.7234,3938.309471681714
155000,-0.6598,4158.5349016189575
160000,-0.6106,4123.490265861154
165000,-0.6058,4100.0617839843035
170000,-0.5104,4102.190746665001
175000,-0.577,4114.414822772145
180000,-0.4954,4160.789195075631
185000,-0.4132,4048.5274800658226
190000,-0.4246,3998.888069778681
195000,-0.3658,4053.3165249824524
200000,-0.3682,4118.327297002077
