Training Step,Reward,Value Error
5000,-3.8963200000000002,9509.202242981817
10000,-2.4092800000000003,1646.5720120173414
15000,-2.3608000000000002,2106.77652719263
20000,-2.3172399999999995,3690.0680401733143
25000,-2.30026,5727.2676361043
30000,-2.23372,7855.65341107808
35000,-2.13238,9954.197919000686
40000,-2.11516,11813.46000662446
45000,-2.02606,13532.55806092918
50000,-1.9629400000000001,14202.538051845133
55000,-1.83274,13162.24613572806
60000,-1.7793400000000001,10138.025093741715
65000,-1.6651,8395.215945135056
70000,-1.5893799999999998,7382.538939118385
75000,-1.4554,6347.668065018952
80000,-1.3504,4347.2120774641635
85000,-1.26112,3565.9120458170773
90000,-1.18552,3222.4153010301293
95000,-1.14406,3159.2797412484883
100000,-1.08604,3263.7849648430943
105000,-1.0511799999999998,3397.444168791175
110000,-0.98626,3498.8831302553417
115000,-0.98752,3580.7269371017815
120000,-0.9185800000000001,3640.4716298520566
125000,-0.8632,3646.79319627285
130000,-0.82462,3693.93179564625
135000,-0.8385400000000001,3759.3893973186614
140000,-0.77044,3783.388066828251
145000,-0.73984,3774.3160496264695
150000,-0.7073200000000001,3779.1895965725184
155000,-0.6699999999999999,3834.919389972091
160000,-0.63076,3862.468251170218
165000,-0.5867199999999999,3926.8516038805246
170000,-0.5612199999999999,3942.5331605136394
175000,-0.51796,3973.0820973217487
180000,-0.4704400000000001,3998.529995110631
185000,-0.418,4026.724833589792
190000,-0.4123,4070.62914070189
195000,-0.35722,4074.9243803218005
200000,-0.34887999999999997,4092.14501029253
