Training Step,Reward,Value Error
5000,-3.8884,9607.490804108325
10000,-2.4382,1650.927752849646
15000,-2.4124,2422.822727257386
20000,-2.3752,3600.9981717001647
25000,-2.2738,5312.42440456152
30000,-2.146,7157.639792665839
35000,-2.0086,8611.667971216142
40000,-2.1298,10930.687526404858
45000,-2.095,14111.06578616798
50000,-1.9432,18935.547056138515
55000,-1.8304,17956.036000311375
60000,-1.7116,12670.23995155096
65000,-1.4734,9123.952863901854
70000,-1.4776,4685.003386631608
75000,-1.2766,2657.4955637604
80000,-1.294,2781.1757013201714
85000,-1.2064,3121.550044134259
90000,-1.126,3179.5183371156454
95000,-1.0966,3269.5131680369377
100000,-1.0966,3420.8924508988857
105000,-0.9892,3703.0919313430786
110000,-1.0414,3691.1051558554173
115000,-0.9676,3735.6939026117325
120000,-0.9406,3762.1537843346596
125000,-0.829,3721.8353782892227
130000,-0.7708,3656.791743159294
135000,-0.7996,3686.5309900790453
140000,-0.7138,3760.669369548559
145000,-0.7072,3627.655328899622
150000,-0.727,3668.463173687458
155000,-0.6154,3798.814024448395
160000,-0.6874,3816.3109298944473
165000,-0.6154,3872.0030928850174
170000,-0.6064,3781.4131492376328
175000,-0.5416,3797.246890217066
180000,-0.4282,3914.5803774893284
185000,-0.478,3960.850197046995
190000,-0.3892,4046.38906493783
195000,-0.3646,4202.499496161938
200000,-0.3502,4159.385580360889
