Training Step,Reward,Value Error
5000,-3.3256,0.0
10000,-2.4112,0.0
15000,-2.395,0.0
20000,-2.4094,0.0
25000,-2.3854,0.0
30000,-2.3728,0.0
35000,-2.3152,0.0
40000,-2.23,0.0
45000,-2.1772,0.0
50000,-2.1472,0.0
55000,-1.9594,0.0
60000,-1.9468,0.0
65000,-1.9528,0.0
70000,-1.7884,0.0
75000,-1.8328,0.0
80000,-1.6756,0.0
85000,-1.465,0.0
90000,-1.339,0.0
95000,-1.102,0.0
100000,-1.0762,0.0
105000,-1.072,0.0
110000,-0.9466,0.0
115000,-0.9496,0.0
120000,-0.9082,0.0
125000,-0.9166,0.0
130000,-0.8296,0.0
135000,-0.7984,0.0
140000,-0.7642,0.0
145000,-0.6358,0.0
150000,-0.679,0.0
155000,-0.6142,0.0
160000,-0.6118,0.0
165000,-0.5626,0.0
170000,-0.5992,0.0
175000,-0.4744,0.0
180000,-0.4384,0.0
185000,-0.3838,0.0
190000,-0.3994,0.0
195000,-0.3094,0.0
200000,-0.2698,0.0
