Training Step,Reward,Value Error
5000,-3.55606,17388.2064778517
10000,-2.42194,2630.4677359769585
15000,-2.4055,3987.3410010349007
20000,-2.33866,5530.792378561198
25000,-2.3191599999999997,7792.9781454507265
30000,-2.29948,10518.440328039229
35000,-2.2538799999999997,13861.821958228946
40000,-2.2366,17764.658828604966
45000,-2.14456,21349.217027108
50000,-2.155179999999999,25428.652139806374
55000,-2.07742,29873.07753252685
60000,-2.04292,33442.41358937249
65000,-2.0239000000000003,38155.11183296666
70000,-1.9941399999999998,42088.24866272658
75000,-1.9101999999999997,45330.98916542232
80000,-1.8511599999999997,48220.261440843344
85000,-1.66642,49326.154661485554
90000,-1.5999999999999999,47215.728164815904
95000,-1.4461600000000001,39901.47575851083
100000,-1.3816599999999999,29905.268529370427
105000,-1.2905200000000001,19605.40371271968
110000,-1.2398799999999999,13975.274991804361
115000,-1.16248,9704.319875235855
120000,-1.09192,5820.627979154885
125000,-0.9620799999999999,4607.852537120879
130000,-0.8979399999999998,4224.853797207773
135000,-0.8222200000000001,3709.0379545092583
140000,-0.7763799999999998,3690.107189169526
145000,-0.72784,3806.422556243837
150000,-0.7254999999999999,3914.300786292553
155000,-0.6703,4001.3554305300117
160000,-0.64504,4035.2964330643417
165000,-0.6011799999999999,4064.649035385251
170000,-0.53074,4081.590878546238
175000,-0.5196999999999999,4165.015636186302
180000,-0.49779999999999996,4181.606152285635
185000,-0.41872,4231.745989829302
190000,-0.38578,4249.415132395923
195000,-0.34678,4254.562043315173
200000,-0.32494,4298.7133113950495
