Training Step,Reward,Value Error
5000,-5.233,28460.539441232104
10000,-2.5048,2200.522912026383
15000,-2.3806,2932.7815622817725
20000,-2.3506,5063.819599905983
25000,-2.299,8259.734879493713
30000,-2.2816,10919.734893202782
35000,-2.227,13693.321780696511
40000,-2.2582,16911.502739310265
45000,-2.1832,21101.46581211686
50000,-2.1538,25121.132243383676
55000,-2.086,29207.383486621082
60000,-2.0536,33353.80937644839
65000,-1.9432,39175.61330194026
70000,-1.9618,45831.37282273173
75000,-1.9024,48753.78262872994
80000,-1.7866,49454.88312962651
85000,-1.6144,53211.61614340544
90000,-1.6972,57455.63556051254
95000,-1.5526,54454.90917646885
100000,-1.5238,40827.93567919731
105000,-1.4146,22156.73883551359
110000,-1.513,14275.95330876112
115000,-1.4404,9645.243567556143
120000,-1.1896,4307.8121207505465
125000,-0.8668,3282.7618629336357
130000,-0.8842,3414.0807885974646
135000,-0.8284,3524.658586844802
140000,-0.7486,3538.0296188741922
145000,-0.6424,3697.0798891037703
150000,-0.7864,3874.5575848817825
155000,-0.6262,3890.4848481863737
160000,-0.6172,3817.7721385210752
165000,-0.5974,3812.8435480594635
170000,-0.565,3779.431903347373
175000,-0.4684,4038.093961805105
180000,-0.4318,4096.466055572033
185000,-0.4462,4184.82721413672
190000,-0.3952,4236.161659374833
195000,-0.3892,4310.702281236649
200000,-0.3268,4359.984829604626
