Training Step,Reward,Value Error
5000,-2.4454,4292.845538057387
10000,-2.458,490.0646490743384
15000,-2.4106,1437.2322361683473
20000,-2.3212,3213.8947540726513
25000,-2.2978,6512.046206634492
30000,-2.1784,8744.31413334608
35000,-2.173,9428.010065935552
40000,-2.1694,11116.332092002034
45000,-1.9798,12730.666780114174
50000,-2.0428,13479.929663687944
55000,-1.9306,14452.61876782775
60000,-1.8022,13790.397520631552
65000,-1.7398,14216.352772891521
70000,-1.6348,9357.883865237236
75000,-1.4992,6568.301749557257
80000,-1.2592,5032.3420904278755
85000,-1.2064,2950.253925830126
90000,-1.0816,2779.7773592174053
95000,-1.147,2959.1484004706144
100000,-1.0696,3118.537750169635
105000,-0.895,3285.485954642296
110000,-1.042,3401.7423326075077
115000,-0.9802,3476.0929183363914
120000,-0.913,3533.481859177351
125000,-0.8524,3534.7097766399384
130000,-0.8572,3610.8488883525133
135000,-0.8176,3571.37710878253
140000,-0.805,3605.359497398138
145000,-0.7546,3737.7573914527893
150000,-0.7306,3798.31030780077
155000,-0.682,3847.418182641268
160000,-0.5686,3941.8846414387226
165000,-0.5494,4095.8898714780807
170000,-0.5296,4100.961549669504
175000,-0.4654,4228.788408458233
180000,-0.4666,4232.042299062014
185000,-0.4216,4378.083011895418
190000,-0.4534,4176.353016972542
195000,-0.3202,4273.745242148638
200000,-0.2866,4387.176351696253
