Training Step,Reward,Value Error
25000,-43449.19460255098,1396708.552781403
50000,-28687.477843009277,3194232.028025925
75000,-24734.440317156514,3411251.659243107
100000,-18433.548586523288,1505067.0147213936
125000,-9629.250552237947,3454163.819404125
150000,-2603.5268199475577,3644849.165987432
175000,702.0014656522113,1027127.9466147721
200000,2816.235317191157,960521.5734783411
225000,5100.483047705029,1211066.2678529322
250000,9609.862810709901,1029479.8033017032
275000,10109.862766524364,1559327.1925849915
300000,9799.542647609142,726689.2479163408
325000,5723.379823314544,590160.3069933802
350000,5542.175611256077,410168.54921269417
375000,6625.850690361286,466577.7387817502
400000,3883.2944540896983,566471.8663701266
425000,6652.001455534929,491875.11230638623
450000,7279.499456273677,407012.52682973444
475000,5496.332112329104,374086.6059493199
500000,3571.0811130130087,336117.5999920964
525000,3984.055636804153,364362.4447618127
550000,2967.568635424867,388052.5819437951
575000,3814.1122007844165,1198385.0327771157
600000,6746.332959139684,782324.0575614721
625000,6113.057464845024,509834.0206608251
650000,3438.4862216828765,1512845.1870540902
675000,3684.4353322689167,1582006.9899281263
700000,3630.1804503035314,429707.7177944258
725000,3976.943500196337,302295.1432517767
