Training Step,Steps,Reward
0,71.7875,-488.3443894010303
50000,371.825,-321.0565895847293
100000,419.5916666666667,-290.9915253847175
150000,667.4041666666667,-127.9369839294127
200000,589.3583333333332,-17.728986327737573
250000,569.3458333333333,116.11689065257167
300000,456.3208333333334,165.75254889785234
350000,454.3,173.05071134370257
400000,389.24583333333334,165.04850592378648
450000,371.6333333333334,178.48526435084946
500000,372.8416666666667,170.31724394053174
550000,378.6375,192.23308736618404
600000,325.1666666666667,194.79928571827472
650000,271.56666666666666,218.8786229300858
700000,328.8458333333333,227.2527522678371
750000,384.0,230.67845408106336
800000,372.4666666666667,239.2014661382204
850000,331.87916666666666,242.0248433091912
900000,301.69166666666666,245.476407005959
950000,321.1541666666667,227.0025536086216
1000000,291.34166666666664,222.50996476146688
