Training Step,Steps,Reward
0,31.996542781994435,208.63993427431848
50000,110.73701907376956,128.4804421478642
100000,138.8961283614794,121.1235478376676
150000,201.34887732325902,62.51653494983221
200000,202.22530614467541,62.519379152116095
250000,151.12786329216476,47.392304158427635
300000,162.50670338545535,62.586482680139376
350000,123.8299134552396,51.90969760031499
400000,117.9701298817392,55.96709327672969
450000,50.09836020927281,46.65221838673073
500000,60.38083220530584,57.00892546812312
550000,71.3328260478205,38.684362020311056
600000,62.94435483983497,38.07851208794953
650000,119.89777322819445,31.86715122271727
700000,143.57474565822298,32.05685506620292
750000,169.9277367749571,29.447846904707134
800000,89.87048837274675,23.358007099936092
850000,99.46268747798884,28.068838797170898
900000,77.46462123512231,22.47835865140607
950000,71.20649535524706,28.511954770440763
1000000,20.98792172381986,25.337580088661138
